id,symbol,name
bitcoin,btc,Bitcoin
ethereum,eth,Ethereum
tether,usdt,Tether
binancecoin,bnb,BNB
ripple,xrp,XRP
usd-coin,usdc,USD Coin
staked-ether,steth,Lido Staked Ether
cardano,ada,Cardano
dogecoin,doge,Dogecoin
solana,sol,Solana
tron,trx,TRON
polkadot,dot,Polkadot
matic-network,matic,Polygon
shiba-inu,shib,Shiba Inu
litecoin,ltc,Litecoin
the-open-network,ton,Toncoin
wrapped-bitcoin,wbtc,Wrapped Bitcoin
dai,dai,Dai
avalanche-2,avax,Avalanche
uniswap,uni,Uniswap
bitcoin-cash,bch,Bitcoin Cash
leo-token,leo,LEO Token
chainlink,link,Chainlink
binance-usd,busd,Binance USD
stellar,xlm,Stellar
true-usd,tusd,TrueUSD
monero,xmr,Monero
okb,okb,OKB
cosmos,atom,Cosmos Hub
ethereum-classic,etc,Ethereum Classic
hedera-hashgraph,hbar,Hedera
internet-computer,icp,Internet Computer
filecoin,fil,Filecoin
quant-network,qnt,Quant
lido-dao,ldo,Lido DAO
mantle,mnt,Mantle
crypto-com-chain,cro,Cronos
aptos,apt,Aptos
arbitrum,arb,Arbitrum
vechain,vet,VeChain
near,near,NEAR Protocol
optimism,op,Optimism
maker,mkr,Maker
rocket-pool-eth,reth,Rocket Pool ETH
the-graph,grt,The Graph
aave,aave,Aave
frax,frax,Frax
xdce-crowd-sale,xdc,XDC Network
kaspa,kas,Kaspa
whitebit,wbt,WhiteBIT Coin
algorand,algo,Algorand
usdd,usdd,USDD
elrond-erd-2,egld,MultiversX
havven,snx,Synthetix Network
the-sandbox,sand,The Sandbox
immutable-x,imx,ImmutableX
blockstack,stx,Stacks
tezos,xtz,Tezos
injective-protocol,inj,Injective
axie-infinity,axs,Axie Infinity
eos,eos,EOS
theta-token,theta,Theta Network
bitget-token,bgb,Bitget Token
flex-coin,flex,FLEX Coin
apecoin,ape,ApeCoin
decentraland,mana,Decentraland
fantom,ftm,Fantom
bitcoin-cash-sv,bsv,Bitcoin SV
radix,xrd,Radix
gatechain-token,gt,Gate
render-token,rndr,Render
paxos-standard,usdp,Pax Dollar
neo,neo,NEO
gala,gala,GALA
rollbit-coin,rlb,Rollbit Coin
kava,kava,Kava
rocket-pool,rpl,Rocket Pool
thorchain,rune,THORChain
flow,flow,Flow
kucoin-shares,kcs,KuCoin
compound-ether,ceth,cETH
pax-gold,paxg,PAX Gold
tether-gold,xaut,Tether Gold
ecash,xec,eCash
pepe,pepe,Pepe
klay-token,klay,Klaytn
chiliz,chz,Chiliz
frax-share,fxs,Frax Share
curve-dao-token,crv,Curve DAO
frax-ether,frxeth,Frax Ether
bittorrent,btt,BitTorrent
iota,miota,IOTA
casper-network,cspr,Casper Network
mina-protocol,mina,Mina Protocol
tokenize-xchange,tkx,Tokenize Xchange
huobi-token,ht,Huobi
terra-luna,lunc,Terra Luna Classic
gemini-dollar,gusd,Gemini Dollar
trust-wallet-token,twt,Trust Wallet
sui,sui,Sui
